codigo,titulo,autor,descricao,preco,link_livro,link_pdf,link_epub,tem_versao_imprimivel
Código: dogipt,Título: As Doutrinas da Graça No Evangelho de João,Autor: R. Bruce Steward,Descrição: .,Preço: 0.00,Link do livro: https://www.chapellibrary.org/book/dogipt/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=dogipt&format=pdf,Link do EPUB: ,Tem versão imprimível: NÃO
Código: doelp,Título: A doutrina da eleição,Autor: Arthur W. Pink,"Descrição: Como a doutrina da eleição é uma parte do alto tema da soberania de Deus, uma breve palavra sobre ela primeiro. Em Apocalipse 19:6 nos é dito, “o Senhor Deus onipotente reina”. No céu e na terra, Ele é o controlador e ordenador de todas as criaturas. Como o Altíssimo, Ele governa entre os exércitos dos céus e ninguém pode deter a mão ou dizer-lhe: “Que fazes?” (Jó 9:12). Ele é o todo-poderoso, que faz todas as coisas segundo o con-selho da Sua própria vontade. Ele é o Oleiro celestial, que toma conta de nossa huma-nidade caída como um pedaço de barro, e para fora dela forja um como vaso para honra e outro vaso para desonra. Em suma, Ele é o decisivo e determinante do destino de cada homem e o controlador de cada detalhe na vida de cada indivíduo, o que é apenas outra maneira de dizer que Deus é Deus.",Preço: 0.69,Link do livro: https://www.chapellibrary.org/book/doelp/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=doelp&format=pdf,Link do EPUB: ,Tem versão imprimível: SIM
Código: beadp,Título: Anciãos e Diáconos Bíblicos,Autor: Nehemiah Coxe,"Descrição: A edificação e a beleza da igreja está em muito relacionada à sua ordem, não uma ordem do tipo que a superstição ditará, ou a controvérsia se esforçará por contender, mas tal como já descrita, que a estabelece em uma conformidade com a vontade de Cristo; e particular-mente o preenchimento dos ofícios que Ele nomeou com pessoas devidamente qualificadas para a administração deles, e a regular atuação tanto de oficiais quanto de membros, em suas respectivas posições.",Preço: 1.37,Link do livro: https://www.chapellibrary.org/book/beadp/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=beadp&format=pdf,Link do EPUB: ,Tem versão imprimível: SIM
Código: bserf,Título: A Baptismal Sermon,Autor: Arthur W. Pink,"Descrição: In this rare sermon from 1927 taken down by shorthand in Australia, Pink presents us with a fine glimpse of our union with Christ, the meaning of Christian baptism, and the glory of the gospel.",Preço: 0.00,Link do livro: https://www.chapellibrary.org/book/bserf/,Link do PDF: ,Link do EPUB: ,Tem versão imprimível: NÃO
Código: hlovfg,Título: A Husband's Love,Autor: Autor Desconhecido,"Descrição: With love for Christ and a burning desire to help men understand their God-ordained roles as husbands, we offer this issue of the Free Grace Broadcaster, 
A Husband’s Love. 
Matthew Henry sets the stage for the rest of the articles with his comments on Genesis 2—man’s responsibility to love his wife began in the Garden of Eden. David Martyn Lloyd-Jones then describes a Christlike love for us, since the Lord Jesus is the model from which husbands must learn how to love. What are the responsibilities of such a love? Ezekiel Hopkins gives us an overview. John Angell James then gives us a detailed survey of how Christ loved His church. In a second article, Lloyd-Jones carefully and biblically explains how men may love their wives as they love themselves. In a profound and deeply challenging article, Benjamin Palmer gives us insight into the force of love, the abuse of authority, and the affect these have on a woman’s heart. This article may be a difficult read for some, but it is worth repeated and prayerful reading. Men know well how to love themselves, and John Angell James appeals to them to apply the same to their wives. And who better than Charles Spurgeon can take the golden example of Christ loving His church and bringing it home to a husband’s heart? He does so with great power, clarity, and verve. Finally, with a heart full of Puritan fire, George Swinnock offers up a husband’s prayer for the grace to love as Christ and for the spiritual wellbeing of his dear wife. These articles will richly repay those who prayerfully apply them.",Preço: 1.78,Link do livro: https://www.chapellibrary.org/book/hlovfg/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=hlovfg&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=hlovfg&format=epub,Tem versão imprimível: SIM
Código: aops,Título: ABCs of Prophetic Scripture,Autor: George H. Clement,"Descrição: The ABCs of the Prophetic Scriptures 
compares the teachings of  dispensationalism with Scripture. It demonstrates that God has one glorious kingdom, prefigured in Israel, unveiled in the Church, and fulfilled in the eternal age to come. It argues that the Church of Jesus Christ is God’s spiritual Israel; that Christ’s Second Coming will be one event, marking the end of the world; and that the Tribulation, the Millennium, and the Antichrist are all representative of events that have begun to be fulfilled already in the experience of the Church, but may have yet to reach their climax before the return of Christ.",Preço: 1.78,Link do livro: https://www.chapellibrary.org/book/aops/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=aops&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=aops&format=epub,Tem versão imprimível: SIM
Código: aborfg,Título: Abortion ,Autor: Autor Desconhecido,Descrição: Ten insightful articles on one of the most controversial subjects of our day.  Inform yourself about the reality of abortion and God’s abundant grace that covers such great sin.,Preço: 1.64,Link do livro: https://www.chapellibrary.org/book/aborfg/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=aborfg&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=aborfg&format=epub,Tem versão imprimível: SIM
Código: buasac,"Título: Acceptable Sacrifice, The",Autor: John Bunyan,Descrição: Miscellaneous,Preço: 0.00,Link do livro: https://www.chapellibrary.org/book/buasac/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=buasac&format=pdf,Link do EPUB: ,Tem versão imprimível: NÃO
Código: ajat,Título: Adoniram Judson and the Missionary Call,Autor: Erroll Hulse,"Descrição: Adoniram Judson (1788-1850) was the first missionary to sail abroad from America in the great mission awakening that developed in the early 19
th
 century. Three principal purposes are designed in this presentation of Judson’s life and doctrine. First, there is inspiration for every reader, as Judson exemplifies Christian faith, love, self-discipline, enterprise, perseverance, and godliness. Second, Adoniram Judson set an example of total commitment to inspire missionaries in enduring the inevitable strains peculiar to their calling. Third, there is the reality of the unfinished task of reaching the yet unreached people groups of the world. May Judson’s example contribute to thrusting out many new labourers into the harvest fields.",Preço: 1.51,Link do livro: https://www.chapellibrary.org/book/ajat/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=ajat&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=ajat&format=epub,Tem versão imprimível: SIM
Código: adop,Título: Adoption,"Autor: Lee Roy Shelton, Jr.","Descrição: Adoption is one of the blessings that God has given us in Christ Jesus. ""It is taking a stranger into the relationship of a son and heir."" In adoption, God does the following three things: (1) He gives us His name; (2) He sanctifies us by His Spirit; and (3) the Holy Spirit prompts us to cry, ""Abba, Father"" (Gal 4:6). Adoption is a high honor and is a wonderful demonstration of the love of God to us.",Preço: 0.14,Link do livro: https://www.chapellibrary.org/book/adop/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=adop&format=pdf,Link do EPUB: ,Tem versão imprimível: SIM
Código: afse,Título: Advice for Seekers,Autor: Charles H. Spurgeon,Descrição: Encouragements and exhortations for those seeking rest in the Lord Jesus by faith.,Preço: 1.92,Link do livro: https://www.chapellibrary.org/book/afse/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=afse&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=afse&format=epub,Tem versão imprimível: SIM
Código: atco,"Título: Ages to Come, The",Autor: Horatius Bonar,"Descrição: ""The ages to come!"" Are you ready for the ages to come? Death comes suddenly. Only faith in the living Christ prepares the soul for ages to come.",Preço: 0.14,Link do livro: https://www.chapellibrary.org/book/atco/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=atco&format=pdf,Link do EPUB: ,Tem versão imprimível: SIM
Código: aode,Título: Alive or Dead?,Autor: John C. Ryle,"Descrição: J.C. Ryle’s 
Alive or Dead
 asks the question faced by every human who has ever lived: Are you among the living or the dead? In his direct and engaging style, Ryle challenges the reader to consider his own condition, and call upon God to turn him in the right direction before he “lays down this booklet.” Sections include
1. All are spiritually dead 
2. All need to be made alive
3. How a dead soul is made alive
4. Are you alive?",Preço: 0.61,Link do livro: https://www.chapellibrary.org/book/aode/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=aode&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=aode&format=epub,Tem versão imprimível: SIM
Código: actc,Título: All Comers to Christ Welcome,Autor: Charles H. Spurgeon,"Descrição: Charles Spurgeon begins with the comforting words of Christ, “All that the Father giveth me shall come to me.”  No greater assurance is there than in knowing that the Savior will save all those who are His.  In this tract the author counsels the reader to come to Christ alone and follow Christ alone, for it is not our “fitness” that saves but Christ’s power alone.",Preço: 0.17,Link do livro: https://www.chapellibrary.org/book/actc/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=actc&format=pdf,Link do EPUB: ,Tem versão imprimível: SIM
Código: aogr,Título: All of Grace,Autor: Charles H. Spurgeon,"Descrição: About 
All of Grace
: “The object of this book is the salvation of the reader. He who spoke and wrote it will be greatly disappointed if it does not lead many to the Lord Jesus. It is sent forth in childlike dependence upon the power of God the Holy Ghost, to use it in the conversion of millions, if so He pleases…Reader, do you mean business in reading these pages? If so, we are agreed at the outset; but nothing short of your finding Christ and heaven is the business aimed at here. Oh that we may seek this together! I do so by dedicating this little book with prayer. Will not you join me by looking up to God, and asking him to bless you while you read?”—
C.H. Spurgeon, from Chapter One.",Preço: 3.13,Link do livro: https://www.chapellibrary.org/book/aogr/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=aogr&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=aogr&format=epub,Tem versão imprimível: SIM
Código: aach,Título: Almost a Christian,Autor: Matthew Meade,"Descrição: Today, many who profess Christianity ask ""How close to the world can I get and still be a Christian?"" In this excerpt from his book, Matthew Mead shows from Biblical examples just how close one can get to Christ and still not be a Christian. A must read for all who truly want to examine their own faith.",Preço: 0.09,Link do livro: https://www.chapellibrary.org/book/aach/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=aach&format=pdf,Link do EPUB: ,Tem versão imprimível: SIM
Código: aira,Título: Am I Really a Christian?,Autor: Thomas Boston,"Descrição: Though it would certainly be unkind to give false assurance of salvation to someone who has not been truly converted, it would be equally cruel to withhold comfort and assurance to a weak lamb who suffers with despair over his spiritual state. In his spiritual classic 
Human Nature in Its Fourfold State, 
Thomas Boston lists eight ""cases"" where a true Christian might have spiritual doubts about the authenticity of his faith. Such doubts, Boston notes, ""may hinder some persons from the comfortable view of their happy state."" Thus, he writes to encourage, comfort, and assure those saints who are burdened with such doubts.
 
Audio narrated by Dwayne DeSalvo",Preço: 0.43,Link do livro: https://www.chapellibrary.org/book/aira/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=aira&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=aira&format=epub,Tem versão imprimível: SIM
Código: buetpa,Título: An Exhortation to Peace and Unity,Autor: John Bunyan,Descrição: .,Preço: 0.00,Link do livro: https://www.chapellibrary.org/book/buetpa/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=buetpa&format=pdf,Link do EPUB: ,Tem versão imprimível: NÃO
Código: bueotf,Título: An Exposition on the First Ten Chapters of Genesis,Autor: John Bunyan,Descrição: .,Preço: 0.00,Link do livro: https://www.chapellibrary.org/book/bueotf/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=bueotf&format=pdf,Link do EPUB: ,Tem versão imprimível: NÃO
Código: adai,Título: Andrew Dunn: An Irish Story,Autor: Thomas Kelly,"Descrição: Redemption, forgiveness, and God’s amazing grace is the story of Andrew Dunn.  This small booklet traces the latter part of the life of Andrew Dunn, an “educated Roman Catholic” from Ireland in the mid-18
th
 century.  Although raised a Catholic, Andrew realized his ignorance of the gospel and sought help from his local priest.  Through dialogues with his priest, the reading of the Bible, and the work of the Holy Spirit, Andrew came to understand the truth of Romans 1:16:  “For I am not ashamed of the gospel of Christ:  for it is the power of God unto salvation to everyone that believeth; to the Jew first, and also to the Greek.”  This booklet is full of the transforming power of God’s gospel and will encourage your walk with Him.",Preço: 0.87,Link do livro: https://www.chapellibrary.org/book/adai/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=adai&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=adai&format=epub,Tem versão imprimível: SIM
Código: aaao,Título: Anguish and Agonies of Spurgeon,Autor: Darrel W. Amundsen,"Descrição: The sermons of Charles Spurgeon, the beloved preacher, exude great joy in the Lord, and sometimes humor, but he was also no stranger to depression, rejection by others, and physical suffering. His spiritual sufferings taught him to hate sin and cherish God’s holiness. The persecution of those who opposed his ministry was all but crushing, and his many physical ailments were great trials to him.  Through it all he was able to exemplify a confidence in God’s sovereignty and love. In his last sermon he stated that “the heaviest end of the cross lies ever on His shoulders.”  May Charles Spurgeon’s words of trust and reliance help all of God's children when they go through their dark valley.",Preço: 0.43,Link do livro: https://www.chapellibrary.org/book/aaao/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=aaao&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=aaao&format=epub,Tem versão imprimível: SIM
Código: ajud,Título: Ann Judson: A Life of Self-denial,Autor: Autor Desconhecido,"Descrição: Ann Judson
 (1789-1826) became a great woman of God through the work of the Holy Spirit and her godly husband, Adoniram. As the first American missionaries, the Lord worked through incredible and unique providences to give this pioneering missionary couple a lasting testimony in the world of missions. Their service in Burma (modern Myanmar) stands as a godly heritage for its thousands of believers. Her story is a great encouragement in the faith to all Christians today.",Preço: 0.61,Link do livro: https://www.chapellibrary.org/book/ajud/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=ajud&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=ajud&format=epub,Tem versão imprimível: SIM
Código: agos,Título: Another Gospel,Autor: Arthur W. Pink,"Descrição: Satan, the “arch-counterfeiter” is promoting his false gospel throughout the world today, especially in our pulpits. Using tactics of peace, prosperity, and human merit he twists God’s Scripture into deceptive words that will condemn many.  This small tract will encourage one's study of God’s word to be able to recognize the delusion of our time.",Preço: 0.17,Link do livro: https://www.chapellibrary.org/book/agos/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=agos&format=pdf,Link do EPUB: ,Tem versão imprimível: SIM
Código: buaahr,Título: Antichrist and his Ruin,Autor: John Bunyan,Descrição: .,Preço: 0.00,Link do livro: https://www.chapellibrary.org/book/buaahr/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=buaahr&format=pdf,Link do EPUB: ,Tem versão imprimível: NÃO
Código: anxi,Título: Anxiety,Autor: Arthur W. Pink,"Descrição: In this short and especially timely tract in view of today’s theatening environment, A. W. Pink urges us to understand that anxiety is a sin “as definitely as theft.” He goes on to point out that this needs to be carefully pondered “so that we don’t excuse it as an innocent infirmity.” He gives three suggestions for overcoming this sin.
 
Implore the Holy Spirit to grant us a deeper conviction of its enormity.
 
Make it a subject of earnest prayer that we may be delivered from this evil.
 
Watch for its beginning, and as soon as we detect an anxious, unbelieving thought, lift up our heart to God and ask for deliverance.
 
According to Pink, the best antidote for anxiety is frequent meditation on God’s goodness, power, and sufficiency, realizing from Psalm 23 that “The Lord is my Shepherd, I shall not want.”",Preço: 0.05,Link do livro: https://www.chapellibrary.org/book/anxi/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=anxi&format=pdf,Link do EPUB: ,Tem versão imprimível: SIM
Código: otapar,Título: Apart,Autor: Charles H. Spurgeon,Descrição: .,Preço: 0.00,Link do livro: https://www.chapellibrary.org/book/otapar/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=otapar&format=pdf,Link do EPUB: ,Tem versão imprimível: NÃO
Código: aposfg,Título: Apostasy,Autor: Autor Desconhecido,Descrição: a booklet about doctrine; aposfg (48p.),Preço: 1.78,Link do livro: https://www.chapellibrary.org/book/aposfg/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=aposfg&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=aposfg&format=epub,Tem versão imprimível: SIM
Código: aots,Título: Application of the Scriptures: A Study of Dispensationalism,Autor: Arthur W. Pink,"Descrição: The well-loved writings of Arthur W. Pink can easily be summarized by two words: simple and scriptural. None of them surpass those contained in these pages, which originally appeared as a series of five articles in Pink’s Studies in the Scriptures from June through October, 1952.",Preço: 1.23,Link do livro: https://www.chapellibrary.org/book/aots/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=aots&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=aots&format=epub,Tem versão imprimível: SIM
Código: aywk,"Título: Appointment You Will Keep, An",Autor: Joel Beeke,Descrição: A heart-felt letter to the reader about the great Judgment Day:  Which road are you traveling – the broad road to eternal destruction or the narrow road to eternal life?,Preço: 0.35,Link do livro: https://www.chapellibrary.org/book/aywk/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=aywk&format=pdf,Link do EPUB: ,Tem versão imprimível: SIM
Código: ayba,Título: Are You Born Again?,Autor: John C. Ryle,"Descrição: Using the epistle of 1 John, J. C. Ryle gives us six great marks of a born-again Christian as he asks these questions:  Do you have these characteristics?  Are you born again?",Preço: 0.09,Link do livro: https://www.chapellibrary.org/book/ayba/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=ayba&format=pdf,Link do EPUB: ,Tem versão imprimível: SIM
Código: ayfo,Título: Are You Forgiven?,Autor: Ralph Becker,"Descrição: In plain words this short tract addresses the need for repentance and forgiveness by addressing three issues:  God is holy, we are guilty, and we shall soon die.",Preço: 0.17,Link do livro: https://www.chapellibrary.org/book/ayfo/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=ayfo&format=pdf,Link do EPUB: ,Tem versão imprimível: SIM
Código: atwg,Título: Around the Wicket Gate,Autor: Charles H. Spurgeon,"Descrição: “Just now we have to do with [those], who are not far from the kingdom, but have come right up to the wicket gate which stands at the head of the way of life. One would think that they would hasten to enter, for a free and open invitation is placed over the entrance, the porter waits to welcome them, and there is but this one way to eternal life. He that is most loaded seems the most likely to pass in and begin the heavenward journey; but what ails the other men? This is what I want to find out. Poor fellows! they have come a long way already to get where they are; and the King’s highway, which they seek, is right before them: why do they not take to the Pilgrim Road at once?…Only the Lord Himself can …lead them to take the great decisive step. Yet the Lord works by means; and I have prepared this little book in the earnest hope that He may work by it to the blessed end of leading seekers to an immediate, simple trust in the Lord Jesus.”          —
from the Preface, Charles Spurgeon",Preço: 1.51,Link do livro: https://www.chapellibrary.org/book/atwg/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=atwg&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=atwg&format=epub,Tem versão imprimível: SIM
Código: aojufg,Título: Aspects of Justification,Autor: Autor Desconhecido,Descrição: a booklet about doctrine; aojufg (32p.),Preço: 0.00,Link do livro: https://www.chapellibrary.org/book/aojufg/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=aojufg&format=pdf,Link do EPUB: ,Tem versão imprimível: NÃO
Código: aorefg,Título: Aspects of Repentance,Autor: Autor Desconhecido,"Descrição: A collection of excellent articles on repentance. Previously titled 
Repentance
.",Preço: 1.64,Link do livro: https://www.chapellibrary.org/book/aorefg/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=aorefg&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=aorefg&format=epub,Tem versão imprimível: SIM
Código: assu,Título: Assurance,Autor: Charles H. Spurgeon,"Descrição: This booklet was taken from three sermons preached on the subject of assurance.  Here Spurgeon deals with objections to assurance, the sealing of the Spirit, and the tests of assurance found in 1 John.",Preço: 1.51,Link do livro: https://www.chapellibrary.org/book/assu/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=assu&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=assu&format=epub,Tem versão imprimível: SIM
Código: aapefg,Título: Assurance and Perseverance,Autor: Autor Desconhecido,Descrição: Do you struggle with a full assurance of salvation?  Is your hope in Christ alone? This edition of the Free Grace Broadcaster gives the reader amazing insight into the reassuring doctrines of assurance and perseverance and concludes with an exhortation to trust in God’s promises that show us who we are in Christ.,Preço: 1.78,Link do livro: https://www.chapellibrary.org/book/aapefg/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=aapefg&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=aapefg&format=epub,Tem versão imprimível: SIM
Código: aton,"Título: Atonement, The",Autor: John Murray,"Descrição: Why did Christ have to die on the Cross?  What is the nature of the work that He accomplished there, and to whom does it apply? John Murray answers these questions in this carefully written booklet. He looks at the atonement as obedience, sacrifice, propitiation, reconciliation, and redemption.
 
""In a warm devotional manner and with a lucid style, Professor Murray brings to light the Biblical significance of the terms used to express the atonement.  He clearly reveals that the definitive terms of Scripture do not impugn the love of God but bring it out in bold relief.""                       —
from the Preface,
 J. Marcellus Kik",Preço: 0.96,Link do livro: https://www.chapellibrary.org/book/aton/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=aton&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=aton&format=epub,Tem versão imprimível: SIM
Código: asoc,"Título: Atoning Sacrifice of Christ, The",Autor: Arthur W. Pink,"Descrição: The Atoning Sacrifice of Christ 
presents the historic Christian truth: that Christ’s death on the cross was full payment for the sins of His people. In the twentieth century a new doctrine crept into the churches: that Christ died for all the sins of all men. Pink gives expert exposition of the Scriptures, citing all the key verses, to point the reader to the truth.",Preço: 0.52,Link do livro: https://www.chapellibrary.org/book/asoc/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=asoc&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=asoc&format=epub,Tem versão imprimível: SIM
Código: aogo,"Título: Attributes of God, The",Autor: Arthur W. Pink,"Descrição: The Attributes of God
 has become a Christian classic in our time. Unlike other more devotional treatments, Pink considers the Biblical evidence for each of God’s attributes and gives in-depth insight into His character and very nature. The reader leaves each chapter both exalting God and better understanding “him with whom we have to do.”",Preço: 2.92,Link do livro: https://www.chapellibrary.org/book/aogo/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=aogo&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=aogo&format=epub,Tem versão imprimível: SIM
Código: babifg,Título: Babies,Autor: Autor Desconhecido,"Descrição: This issue of the Free Grace Broadcaster delves into the theology of bearing children from a biblical and Puritan perspective. 
 
Babies are made in God’s image, God’s elect come from babies, and God’s promise of salvation was promised and fulfilled in a baby. “She shall bring forth a son, and thou shalt call his name JESUS: for he shall save his people from their sins” (Mat 1:20-21). Babies are important. 
 
Explore this fascinating subject with articles from John Calvin, Martin Luther, Thomas Manton, J. R. Miller, Stephen Charnock, Richard Adams, Arthur Pink, Thomas Jacombe, and Thomas Boston.",Preço: 1.78,Link do livro: https://www.chapellibrary.org/book/babifg/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=babifg&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=babifg&format=epub,Tem versão imprimível: SIM
Código: backfg,Título: Backsliding,Autor: Autor Desconhecido,Descrição: a booklet about walking with Christ; backfg (48p.),Preço: 1.78,Link do livro: https://www.chapellibrary.org/book/backfg/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=backfg&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=backfg&format=epub,Tem versão imprimível: SIM
Código: braa,"Título: Bad Record and a Bad Heart, A",Autor: Albert N. Martin,"Descrição: A Bad Record and a Bad Heart
  looks at the challenge every person on earth faces: he deserves the judgment of God and he is not able to do what God requires. With a pastor’s heart, the author carefully explains how this is so, and challenges all to flee to the Lord Jesus Christ as the only answer to their dire need.
 
Albert N. Martin
 served for 46 years from 1962 to 2008 as pastor of Trinity Baptist Church of Montville, New Jersey. His teaching ministry is known for thorough and powerful exposition of God’s Word. Today he serves in writing and conference ministry from his home in Michigan.",Preço: 0.35,Link do livro: https://www.chapellibrary.org/book/braa/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=braa&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=braa&format=epub,Tem versão imprimível: SIM
Código: bthd,Título: Baptism - The Heaven-Drawn Picture,Autor: Peter Masters,"Descrição: Baptism—The Heaven-Drawn Picture
 is a concise summary for anyone who wants to understand the rich fullness of the Biblical meaning of baptism. It explains immersion as the Bible’s method to communicate the believer’s identification with Christ in His death, burial, and resurrection.
 
Dr. Peter M. Masters
 is Minister of the Metropolitan Tabernacle,London,England, the same church at the same location served by Charles Spurgeon over 100 years ago.",Preço: 0.52,Link do livro: https://www.chapellibrary.org/book/bthd/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=bthd&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=bthd&format=epub,Tem versão imprimível: SIM
Código: babu,Título: Baptism: A Burial,Autor: Charles H. Spurgeon,Descrição: A sermon about baptism and its meaning.,Preço: 0.61,Link do livro: https://www.chapellibrary.org/book/babu/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=babu&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=babu&format=epub,Tem versão imprimível: SIM
Código: breg,Título: Baptismal Regeneration,Autor: Charles H. Spurgeon,Descrição: Does baptism save?  The Scriptures teach that it does not.,Preço: 0.69,Link do livro: https://www.chapellibrary.org/book/breg/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=breg&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=breg&format=epub,Tem versão imprimível: SIM
Código: bubftr,"Título: Barren Fig-tree, The",Autor: John Bunyan,Descrição: .,Preço: 0.00,Link do livro: https://www.chapellibrary.org/book/bubftr/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=bubftr&format=pdf,Link do EPUB: ,Tem versão imprimível: NÃO
Código: bsur,Título: Be Sure,Autor: Unknown,"Descrição: “I never knew you,” the most dreadful words anyone could ever hear.  A thought-provoking tract to encourage the reader to “be sure” they are not on the broad way that leads to destruction.",Preço: 0.09,Link do livro: https://www.chapellibrary.org/book/bsur/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=bsur&format=pdf,Link do EPUB: ,Tem versão imprimível: SIM
Código: bsno,Título: Beautiful Snow,Autor: Autor Desconhecido,"Descrição: A warning to anyone who is eagerly seeking freedom from authority, the right to “do as I please,” and personal liberty to test all the lures of Satan!",Preço: 0.06,Link do livro: https://www.chapellibrary.org/book/bsno/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=bsno&format=pdf,Link do EPUB: ,Tem versão imprimível: SIM
Código: otbaje,Título: Beginning at Jerusalem,Autor: Charles H. Spurgeon,Descrição: .,Preço: 0.00,Link do livro: https://www.chapellibrary.org/book/otbaje/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=otbaje&format=pdf,Link do EPUB: ,Tem versão imprimível: NÃO
Código: btma,Título: Behold the Man,Autor: Horatius Bonar,"Descrição: In 
Behold the Man
, Horatius Bonar (1808-1889) takes a refreshing look at the sufficiency of Jesus Christ for man's need as a sinner condemned by the Law of God. By who He is and what He does, Jesus Christ has provided a full and complete salvation for those who trust in Him.",Preço: 0.78,Link do livro: https://www.chapellibrary.org/book/btma/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=btma&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=btma&format=epub,Tem versão imprimível: SIM
Código: bwmo,Título: Behold What Manner of Love!,Autor: M. Luther Hux,"Descrição: Rejoice with M. Luther Hux over the manner of God's love. Here you will find twelve distinguishing aspects of God's love. It is free, everlasting, unchanging, providing, electing, regenerating, redeeming, adopting, reconciling, communicating, justifying, and sanctifying.",Preço: 0.61,Link do livro: https://www.chapellibrary.org/book/bwmo/,Link do PDF: https://www.chapellibrary.org/api/books/download?code=bwmo&format=pdf,Link do EPUB: https://www.chapellibrary.org/api/books/download?code=bwmo&format=epub,Tem versão imprimível: SIM
